RAJ2000,DEJ2000,local_rms_wide
23.749897,-31.646145,0.0057121837
23.583,-31.547447,0.0056156386
23.535883,-31.457602,0.0056029074
24.584665,-31.667328,0.0066355537
24.965675,-31.719837,0.006401733
24.477272,-31.593641,0.0064569707
23.539156,-31.318003,0.005760449
23.71644,-31.30807,0.005772371
24.666384,-31.55508,0.006846492
23.44692,-31.232395,0.0059101153
24.299187,-31.426487,0.0061568785
24.285013,-31.379105,0.0061737304
25.502989,-31.67309,0.0061255936
24.467974,-31.406864,0.006132094
25.012392,-31.549133,0.0066338615
24.750822,-31.4766,0.0069171614
24.185125,-31.311556,0.006102016
25.653545,-31.66625,0.005786806
23.340982,-31.066893,0.006128887
25.152657,-31.476267,0.0063971994
23.787514,-31.134695,0.0059214444
25.647383,-31.522154,0.0058777416
23.568674,-30.97371,0.005988823
23.417528,-30.94393,0.0060740705
24.69512,-31.269642,0.0065363836
23.672081,-31.016273,0.005913357
25.303457,-31.376064,0.0059656766
25.550743,-31.393028,0.0060656145
24.93049,-31.217905,0.0064124228
25.203213,-31.300108,0.006060975
24.766321,-31.199953,0.006485038
26.377432,-31.54069,0.0058108363
25.266926,-31.284115,0.006002968
25.655558,-31.393719,0.0062105204
23.860851,-30.913176,0.005656371
23.573591,-30.832891,0.0057391315
23.312307,-30.732473,0.0057010497
24.343252,-30.984676,0.0059697996
24.030699,-30.926456,0.0058038314
26.621128,-31.525127,0.006172297
24.741716,-31.013977,0.0058555403
24.479286,-30.946697,0.005835831
25.143578,-31.070059,0.0059678555
25.456959,-31.130136,0.0058712754
26.132095,-31.251759,0.006082721
26.636889,-31.379288,0.0062738117
26.310501,-31.294268,0.006111276
26.045979,-31.25335,0.006206497
24.895952,-30.970642,0.0058869077
24.305004,-30.766947,0.0058873626
24.569132,-30.801523,0.006007146
25.707727,-31.062883,0.006438076
24.45354,-30.741472,0.006072463
24.817158,-30.823229,0.0060511096
25.910772,-31.089901,0.00656681
26.258722,-31.162243,0.006139498
26.736824,-31.247879,0.00614455
25.246199,-30.881908,0.0061626467
24.605042,-30.727045,0.0061722295
26.208736,-31.086956,0.0060546217
25.575632,-30.934351,0.0059439624
24.459803,-30.657866,0.0062618474
26.684332,-31.197645,0.0061499034
23.426,-30.287464,0.0052946587
23.396584,-30.349932,0.005313306
25.508005,-30.886868,0.005838945
25.721542,-30.911531,0.0062664067
25.600271,-30.872982,0.0060209427
26.51042,-31.082647,0.00610918
25.672953,-30.785486,0.006383923
24.5622,-30.505375,0.006146019
24.969448,-30.607216,0.0061129816
24.165836,-30.402851,0.006060269
24.85141,-30.5893,0.0061147977
24.284157,-30.403616,0.006035885
24.756119,-30.502937,0.0060991533
26.292294,-30.85086,0.0059901536
25.665003,-30.67259,0.0061867945
25.415026,-30.586054,0.006220512
24.907228,-30.47888,0.0060713645
24.99144,-30.482706,0.0061178305
24.798397,-30.434189,0.006051416
26.012045,-30.724491,0.0065470166
24.667677,-30.392838,0.0061482834
25.088255,-30.466238,0.005966609
23.610802,-30.09351,0.0052842177
25.742846,-30.595564,0.00604391
24.166044,-30.224764,0.0060831066
24.308659,-30.219471,0.0061929803
26.151928,-30.593624,0.0058060545
23.415956,-29.899086,0.0054414123
25.162151,-30.283808,0.006152665
24.779497,-30.180239,0.0067069368
25.599302,-30.381548,0.005848162
23.344868,-29.772812,0.0054871505
25.99544,-30.445307,0.0058027864
24.273788,-29.958096,0.0061512007
25.145008,-30.190788,0.006227789
26.391836,-30.464603,0.0057565193
24.6672,-29.919346,0.006252765
24.6876,-29.98862,0.0063544586
23.597843,-29.684978,0.0056825434
24.570723,-29.886938,0.0061815074
24.766827,-29.917492,0.0061867204
26.640753,-30.351915,0.005940424
25.523783,-30.070168,0.005713856
24.39782,-29.806833,0.0059227254
25.071903,-29.938473,0.006144827
24.314428,-29.700573,0.005746217
23.589836,-29.501764,0.0058464506
24.561142,-29.748634,0.0060236594
25.198324,-29.890541,0.0062491177
26.614841,-30.213432,0.005929231
24.842756,-29.780313,0.0063583544
23.575586,-29.417944,0.0058610835
23.436834,-29.392061,0.0058251806
25.047638,-29.828184,0.006336761
25.058073,-29.77689,0.0065548387
24.154072,-29.54615,0.0056446455
23.923882,-29.45327,0.005766588
23.759737,-29.4221,0.0057363566
26.740164,-30.09419,0.0058640926
25.380394,-29.775118,0.006578836
24.055656,-29.474567,0.005737009
25.675285,-29.77562,0.00588436
26.343,-29.938843,0.0053861802
25.022272,-29.607298,0.0071973344
26.560791,-29.949686,0.0056039444
26.599184,-29.926718,0.0056178793
25.204903,-29.592539,0.0070810425
23.337734,-29.117128,0.0061639594
23.785,-29.253857,0.0058792974
25.49772,-29.688751,0.0065815113
24.871979,-29.417389,0.0065354793
24.57019,-29.398066,0.005689716
23.37894,-28.997696,0.006172344
23.422707,-29.036541,0.00623193
24.569996,-29.28457,0.0055115167
25.039183,-29.425684,0.0066889576
23.850842,-29.131016,0.005789575
26.170294,-29.690468,0.005333416
24.95012,-29.325237,0.00641342
23.993246,-29.062181,0.005489135
26.03613,-29.614317,0.005555884
25.362196,-29.37881,0.0072943945
24.329424,-29.11283,0.0053690374
24.084774,-29.053448,0.0054024486
25.48499,-29.47612,0.0070107165
25.077108,-29.289892,0.0065246085
26.169611,-29.561918,0.005465449
25.779562,-29.433626,0.005924219
24.8668,-29.220846,0.0061718062
25.63426,-29.42656,0.0063799215
25.19048,-29.295717,0.0067643602
25.010921,-29.191643,0.0062798546
24.056631,-28.941998,0.0056701466
25.335138,-29.269133,0.0068837777
24.375967,-29.028727,0.005436916
25.781542,-29.316917,0.0058573526
26.072123,-29.424746,0.0056624874
23.46852,-28.725426,0.0063064233
23.436924,-28.764826,0.006201111
25.05393,-29.086643,0.0059714057
25.610626,-29.212826,0.0061780643
25.914982,-29.254047,0.0056659873
26.581224,-29.394327,0.005469011
25.24062,-29.023441,0.0056909146
24.02881,-28.705982,0.006781492
24.363113,-28.834164,0.0059649097
26.525412,-29.318697,0.00551918
26.592112,-29.323572,0.005485513
23.73346,-28.591276,0.006581231
26.338137,-29.221361,0.0053193956
24.233913,-28.692467,0.006409003
25.088356,-28.909744,0.005193588
23.933277,-28.622395,0.006763159
25.729115,-29.06626,0.0055026766
24.597807,-28.734507,0.005410317
23.95776,-28.568472,0.006742384
23.505583,-28.45374,0.0061182207
26.741762,-29.248375,0.0054821293
26.273733,-29.103003,0.005178705
26.143257,-29.062958,0.005181418
24.227156,-28.563707,0.0064667887
26.679611,-29.185432,0.005437611
24.057404,-28.48371,0.0065915547
24.565903,-28.638363,0.0056290254
24.51221,-28.630552,0.005846852
26.6162,-29.124943,0.0054040155
25.903212,-28.942755,0.00521046
25.087473,-28.732368,0.0048446706
24.438322,-28.562761,0.006059339
23.838444,-28.364159,0.006323299
23.762344,-28.3693,0.0063505694
24.744904,-28.612844,0.0051693874
24.364538,-28.463938,0.006359496
24.289988,-28.411596,0.006560621
26.007038,-28.894314,0.0052032196
23.594456,-28.283573,0.0057352483
23.9303,-28.305647,0.0066825454
24.765524,-28.400656,0.0053373277
24.483078,-28.349205,0.0062113088
25.481668,-28.542585,0.005152602
25.409498,-28.428267,0.00528891
25.981607,-28.540241,0.0052338038
26.143618,-28.551477,0.0053320853
25.822863,-28.488201,0.0052635707
25.497953,-28.322906,0.005448462
25.739325,-28.325165,0.0054517454
26.295866,-28.438997,0.005559451
26.566853,-28.569813,0.0055751344
26.102242,-28.332876,0.0054031154
25.84622,-28.312868,0.0054689404
26.477169,-28.405857,0.00568634
26.648874,-28.449493,0.005742283
26.263554,-28.318491,0.0055607734
